area,area_code,proc_code,proc,comm_code,source_code,source,item_code,item,tcf
Canada,CAN,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.1078
Canada,CAN,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1372
Canada,CAN,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Canton and Enderbury Islands,CTE,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Canton and Enderbury Islands,CTE,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Canton and Enderbury Islands,CTE,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Canton and Enderbury Islands,CTE,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.10285
Canton and Enderbury Islands,CTE,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1309
Canton and Enderbury Islands,CTE,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Cabo Verde,CPV,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Cabo Verde,CPV,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Cabo Verde,CPV,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Cabo Verde,CPV,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.1012
Cabo Verde,CPV,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1288
Cabo Verde,CPV,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Cayman Islands,CYM,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Cayman Islands,CYM,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Cayman Islands,CYM,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Cayman Islands,CYM,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.10285
Cayman Islands,CYM,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1309
