area_code,inp_code,inp,out_code,out,value
6,2541,Sugar non-centrifugal,2658,"Beverages, Alcoholic",1.3
6,2543,"Sweeteners, Other",2658,"Beverages, Alcoholic",1.5
6,2544,Molasses,2658,"Beverages, Alcoholic",0.525
6,2544,Molasses,2659,"Alcohol, Non-Food",0.19934
6,2615,Bananas,2657,"Beverages, Fermented",0.594791667
6,2615,Bananas,2658,"Beverages, Alcoholic",0.468188889
6,2616,Plantains,2657,"Beverages, Fermented",0.594791667
6,2616,Plantains,2658,"Beverages, Alcoholic",0.468188889
6,2617,Apples and products,2657,"Beverages, Fermented",0.594791667
6,2617,Apples and products,2658,"Beverages, Alcoholic",0.468188889
6,2617,Apples and products,2659,"Alcohol, Non-Food",0.19934
6,2619,Dates,2658,"Beverages, Alcoholic",0.468188889
6,2620,Grapes and products (excl wine),2657,"Beverages, Fermented",0.758888889
6,2620,Grapes and products (excl wine),2658,"Beverages, Alcoholic",0.468188889
6,2620,Grapes and products (excl wine),2659,"Alcohol, Non-Food",0.19934
6,2625,"Fruits, Other",2657,"Beverages, Fermented",0.594791667
6,2625,"Fruits, Other",2658,"Beverages, Alcoholic",0.468188889
6,2625,"Fruits, Other",2659,"Alcohol, Non-Food",0.19934
6,2655,Wine,2658,"Beverages, Alcoholic",0.468188889
6,2655,Wine,2659,"Alcohol, Non-Food",0.19934
6,2804,Rice (Paddy Equivalent),2543,"Sweeteners, Other",1.03455
6,2804,Rice (Paddy Equivalent),2656,Beer,2.7775
6,2804,Rice (Paddy Equivalent),2657,"Beverages, Fermented",2.7775
6,2804,Rice (Paddy Equivalent),2658,"Beverages, Alcoholic",0.71775
6,2804,Rice (Paddy Equivalent),2659,"Alcohol, Non-Food",0.297
6,2818,"Sugar, Refined Equiv",2658,"Beverages, Alcoholic",1.5
7,2511,Wheat and products,2543,"Sweeteners, Other",1.078
7,2511,Wheat and products,2656,Beer,4.455
7,2511,Wheat and products,2657,"Beverages, Fermented",4.455
7,2511,Wheat and products,2658,"Beverages, Alcoholic",0.68
7,2511,Wheat and products,2659,"Alcohol, Non-Food",0.28
7,2513,Barley and products,2543,"Sweeteners, Other",
7,2513,Barley and products,2656,Beer,4.7815
7,2513,Barley and products,2658,"Beverages, Alcoholic",0.5037
7,2513,Barley and products,2659,"Alcohol, Non-Food",
7,2514,Maize and products,2543,"Sweeteners, Other",0.8415
7,2514,Maize and products,2656,Beer,5.5
7,2514,Maize and products,2657,"Beverages, Fermented",5.5
7,2514,Maize and products,2658,"Beverages, Alcoholic",0.65
7,2514,Maize and products,2659,"Alcohol, Non-Food",0.35
7,2515,Rye and products,2656,Beer,4.8173
7,2515,Rye and products,2657,"Beverages, Fermented",4.8173
7,2515,Rye and products,2658,"Beverages, Alcoholic",0.645
7,2515,Rye and products,2659,"Alcohol, Non-Food",0.27
7,2516,Oats,2658,"Beverages, Alcoholic",0.468188889
7,2517,Millet and products,2656,Beer,4.5
7,2517,Millet and products,2657,"Beverages, Fermented",4.5
7,2518,Sorghum and products,2656,Beer,4.85
7,2518,Sorghum and products,2657,"Beverages, Fermented",4.85
7,2518,Sorghum and products,2658,"Beverages, Alcoholic",0.468188889
7,2518,Sorghum and products,2659,"Alcohol, Non-Food",0.294
7,2520,"Cereals, Other",2656,Beer,4.8173
7,2520,"Cereals, Other",2657,"Beverages, Fermented",4.8173
7,2520,"Cereals, Other",2658,"Beverages, Alcoholic",0.65
7,2520,"Cereals, Other",2659,"Alcohol, Non-Food",0.275
7,2531,Potatoes and products,2543,"Sweeteners, Other",0.19
7,2531,Potatoes and products,2658,"Beverages, Alcoholic",0.215
7,2531,Potatoes and products,2659,"Alcohol, Non-Food",0.09
7,2532,Cassava and products,2543,"Sweeteners, Other",0.25
7,2532,Cassava and products,2659,"Alcohol, Non-Food",0.09
7,2533,Sweet potatoes,2543,"Sweeteners, Other",0.2
7,2533,Sweet potatoes,2658,"Beverages, Alcoholic",0.468188889
7,2536,Sugar cane,2658,"Beverages, Alcoholic",0.19
7,2536,Sugar cane,2659,"Alcohol, Non-Food",0.075
7,2537,Sugar beet,2658,"Beverages, Alcoholic",0.155
7,2537,Sugar beet,2659,"Alcohol, Non-Food",0.065
7,2541,Sugar non-centrifugal,2658,"Beverages, Alcoholic",1.3
7,2543,"Sweeteners, Other",2658,"Beverages, Alcoholic",1.5
7,2544,Molasses,2658,"Beverages, Alcoholic",0.525
